sentence,sentiment
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #2097),0
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #836),2
Giảng viên dạy nhanh quá không hiểu (mẫu UIT-VSFC #53),0
Môn này quá nặng so với tín chỉ (mẫu UIT-VSFC #927),0
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #2864),2
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #4317),2
Thầy dạy khó hiểu quá sinh viên không theo kịp (mẫu UIT-VSFC #3011),0
Thầy dạy khó hiểu quá sinh viên không theo kịp (mẫu UIT-VSFC #771),0
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #6572),2
Bài giảng sinh động và hấp dẫn (mẫu UIT-VSFC #5475),2
Thầy dạy rất hay em rất thích (mẫu UIT-VSFC #1017),2
Đề thi khó hơn nội dung đã học (mẫu UIT-VSFC #2115),0
Môn học bình thường không có gì đặc biệt (mẫu UIT-VSFC #601),1
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #3214),2
Nội dung tạm được không hay không dở (mẫu UIT-VSFC #1313),1
Lớp học nóng bức không tập trung được (mẫu UIT-VSFC #1108),0
Cô rất nhiệt tình hỗ trợ sinh viên (mẫu UIT-VSFC #6579),2
Chương trình học hợp lý và khoa học (mẫu UIT-VSFC #780),2
Giảng viên dạy nhanh quá không hiểu (mẫu UIT-VSFC #2093),0
Giảng viên rất tận tâm với sinh viên (mẫu UIT-VSFC #6054),2
Môn học quá khó bài tập nhiều (mẫu UIT-VSFC #1362),0
Nội dung phong phú và thiết thực (mẫu UIT-VSFC #5566),2
Thầy giảng dạy rất tốt và nhiệt tình (mẫu UIT-VSFC #6441),2
Môn học giúp em hiểu nhiều điều mới (mẫu UIT-VSFC #6298),2
Nội dung tạm được không hay không dở (mẫu UIT-VSFC #1503),1
Chương trình học bình thường (mẫu UIT-VSFC #1388),1
Cô giải thích rõ ràng dễ hiểu (mẫu UIT-VSFC #5602),2
